term_lower	term	confidence	defined_in
naturalequivalenceofc_gandc_mcategories	NaturalEquivalenceOfC_GAndC_MCategories	medium	NaturalEquivalenceOfCategories
naturality of diagrams	naturality of diagrams	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
naturally equivalent	naturally equivalent	high	NaturalEquivalence
naturaltransformation	NaturalTransformation	medium	Skeleton
nature	Nature	medium	GeneralizedVanKampenSiefertTheoremForDoubleGroupoids
negativebinomialrandomvariable	NegativeBinomialRandomVariable	medium	ListOfProbabilityDistributions
negativehypergeometricrandomvariable	NegativeHypergeometricRandomVariable	medium	ListOfProbabilityDistributions
nerve	nerve	high	Nerve
neutrosophic probabilistic components	neutrosophic probabilistic components	medium	NeutrosophicProbability
neutrosophic probability	neutrosophic probability	high	NeutrosophicProbability
neutrosophic probability space	neutrosophic probability space	medium	NeutrosophicProbability
neutrosophic probablistic components	neutrosophic probablistic components	high	NeutrosophicProbability
new developments in the theory of knots.	New Developments in the Theory of Knots.	medium	QuantumSymmetry;Quasicrystal
nicolae popescu (mathematician)	Nicolae Popescu (mathematician)	high	NicolaePopescumathematician
no-go conjecture for recursive computation of generalised (\textbf{m,r	No-Go Conjecture for Recursive Computation of Generalised (\textbf{M,R	medium	MVLogicsInTheCategoryOfAutomata
nobel lectures, physics 1971--1980	Nobel Lectures, Physics 1971--1980	medium	QuantumSymmetry;Quasicrystal
non commutative invariant	non commutative invariant	medium	GeneralizedVanKampenSiefertTheoremForDoubleGroupoids;GeneralizedVanKampenTheoremsHDVKTHigherDimensional
non--abelian algebraic topology	Non--Abelian Algebraic Topology	medium	QuantumGroupoids
non--commutative	non--commutative	medium	GeneralizedVanKampenTheoremsHDVKTHigherDimensional
non-abelian	non-Abelian	high	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS;NonAbelianTheory;QuantumGroupoids
non-abelian
algebraic topology	Non-Abelian
Algebraic Topology	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
non-abelian
categorical ontology	non-Abelian
Categorical Ontology	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
non-abelian algebraic topology	Non-Abelian Algebraic Topology	medium	NonAbelianStructures
non-abelian character	non-Abelian character	high	NonAbelianTheory
non-abelian geometry	Non-Abelian Geometry	high	QuantumGeometry;QuantumRiemannianGeometry
non-abelian homological algebra	non-Abelian homological algebra	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
non-abelian quantum gravity	non-Abelian Quantum Gravity	medium	WeakHomotopyAdditionLemma
non-abelian structure	non-Abelian structure	high	NonAbelianStructures
non-abelian structures	non-Abelian structures	high	NonAbelianStructures
non-abelian superstructure with heterofunctors	non-Abelian superstructure with heterofunctors	high	Supercategory
non-abelian theories	non-Abelian theories	high	NonAbelianTheory
non-abelian theory	non-Abelian theory	high	NonAbelianTheory
non-abelian topology	Non-Abelian Topology	high	QuantumGeometry;QuantumRiemannianGeometry
non-atomic expression	non-atomic expression	medium	Supercategory
non-commutative	non-commutative	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS;QuantumTopos
non-commutative cross complex	non-commutative cross complex	high	HomotopyGroupoidsAndCrossedComplexesNoncommutativeStructuresInHigherDimensionalAlgebraHDA
non-commutative geometry	Non-Commutative Geometry	high	QuantumGeometry;QuantumRiemannianGeometry
non-commutative quantum logic	non-commutative quantum logic	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
non-commutative structure	non-commutative structure	high	NonAbelianStructures
non-commuting quantum operators	non-commuting quantum operators	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
non-degenerate	non-degenerate	medium	GroupoidRepresentationTheorem
non-generic	non-generic	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
non-standard part	non-standard part	medium	NeutrosophicProbability
non-standard unit interval	non-standard unit interval	medium	NeutrosophicProbability
nonabelian	nonabelian	high	NonAbelianStructures;NonAbelianTheory
nonabelian examples	nonabelian examples	high	NonAbelianTheory
noncentralchisquaredrandomvariable	NonCentralChiSquaredRandomVariable	medium	ListOfProbabilityDistributions
noncommutative geometry	Noncommutative geometry	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;QuantumGeometry;QuantumGravityTheories
noncommutative topology	Noncommutative Topology	high	QuantumGeometry
noncommutativegeometry	NoncommutativeGeometry	medium	QuantumGravityTheories
normal	normal	high	NormalCategory
normal category	normal category	high	NormalCategory
normal convergence	normal convergence	high	LindebergsCentralLimitTheorem
normal monic	normal monic	high	NormalCategory
normal monomorphism	normal monomorphism	high	NormalCategory
normal process	normal process	high	GaussianProcess
normal subobject	normal subobject	high	NormalCategory
normalclosure2	NormalClosure2	medium	KernelOfAMorphism
normalrandomvariable	NormalRandomVariable	medium	ChisquaredRandomVariable;ListOfProbabilityDistributions
not	not	medium	3DistributedDynamicalSystems;ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS;AttachingPullbackSquares
not even wrong: the failure of string theory and the search for unity in physical laws	Not Even Wrong: The Failure of String Theory and the Search for Unity in Physical Laws	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
not localizable	not localizable	medium	5Entanglement
note:	Note:	medium	ChebyshevsInequality;Supercategory
notices of the amer. math. soc.	Notices of the Amer. Math. Soc.	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;QuantumGroupoids
nuances	nuances	medium	MVLogicsInTheCategoryOfAutomata
nucl. phys. b	Nucl. Phys. B	medium	QuantumGroupoids
nuclear phys. b	Nuclear Phys. B	medium	QuantumGroupoids
null	null	medium	RecurrenceInAMarkovChain
null context	null context	medium	4Measurement
null morphism	null morphism	high	KernelOfAMorphism
null recurrent	null recurrent	high	RecurrenceInAMarkovChain
null state	null state	high	RecurrenceInAMarkovChain
number congruence	number congruence	high	Congruence
numbers	numbers	medium	CriterionForAlmostsureConvergence
numerical	numerical	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
nuovo cimento	Nuovo Cimento	medium	QuantumGroupoids
nuovo cimento b	Nuovo Cimento B	medium	Quant1TemplateTest;Quant1TemplateTest1
object	object	high	AlternativeDefinitionOfCategory;Category
object and process become inter-mingled	object and process become inter-mingled	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
object of morphisms	object of morphisms	medium	InternalCategory
object of objects	object of objects	medium	InternalCategory
object-oriented	object-oriented	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
objects	objects	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS;ProductOfCategories
obstruction	obstruction	medium	6Discussion
oeuvres compl\`etes et  comment\'ees:
%amiens, 1980-84	Oeuvres compl\`etes et  comment\'ees:
%Amiens, 1980-84	medium	NaturalTransformation
oeuvres compl\`etes et  comment\'ees:
amiens, 1980-84	Oeuvres compl\`etes et  comment\'ees:
Amiens, 1980-84	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
on $k$ letters over nontrivial abelian categories	on $k$ letters over nontrivial abelian categories	medium	GrassmannHopfAlgebroidCategoriesAndGrassmannCategories
on adjoint dynamical systems	On Adjoint Dynamical Systems	medium	GeneralizedVanKampenSiefertTheoremForDoubleGroupoids
on epimorphisms of non-commutative rings.	On epimorphisms of non-commutative rings.	medium	NonAbelianStructures
one object	one object	medium	NsupercategoryTheory;Supercategory
one-object super-category	one-object super-category	medium	Supercategory
ontological meta-levels	ontological meta-levels	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
operations with events	operations with events	high	OperationsWithEvents
operator commutation relation	operator commutation relation	medium	MolecularSetAndMolecularClassVariables
operator induced by a measure preserving map	operator induced by a measure preserving map	medium	GroupoidRepresentationsInducedByMeasure
operon	operon	medium	OrganismicSupercategoriesAndSupercomplexSystemsBiodynamics
opposite	opposite	high	DualCategory
opposite arrow	opposite arrow	high	DualCategory
opposite category	opposite category	high	DualCategory
opposite functor	opposite functor	high	DualCategory
opposite morphism	opposite morphism	high	DualCategory
optimality principles in biology	Optimality Principles in Biology	medium	RobertRosen
optional	optional	high	OptionalProcess
optional process	optional process	high	OptionalProcess
optional stopping	optional stopping	high	StoppedProcess
order	order	medium	Supercategory
order of a supercategory	order of a supercategory	high	Supercategory
ordinal category	ordinal category	high	PreorderAsACategory
organismic set	organismic set	high	TheoryOfOrganismicSetsAndMathematicalRelations
organismic sets	organismic sets	medium	TheoryOfOrganismicSetsAndMathematicalRelations
organismic supercategories	organismic supercategories	high	Supercategory
organismic supercategories and super-complex systems biodynamics	organismic supercategories and super-complex systems biodynamics	high	OrganismicSupercategoriesAndSupercomplexSystemsBiodynamics
organismic supercategory	organismic supercategory	high	CategoriesAndSupercategoriesInRelationalBiology;NsupercategoryTheory;Supercategory
organismic supercategory (\cite{icbm	Organismic supercategory (\cite{ICBM	medium	Supercategory
ornstein-uhlenbeck	Ornstein-Uhlenbeck	medium	OrnsteinUhlenbeckProcess
ornstein-uhlenbeck equation	Ornstein-Uhlenbeck equation	high	OrnsteinUhlenbeckProcess
ornstein-uhlenbeck process	Ornstein-Uhlenbeck process	high	OrnsteinUhlenbeckProcess
orthogonal	orthogonal	high	OrthogonalMorphisms
orthogonal morphisms	orthogonal morphisms	high	OrthogonalMorphisms
outer measure	outer measure	high	OuterMeasure
output	output	medium	4Measurement
output function	output function	medium	CategoryOfAutomata
p-algebra	p-algebra	medium	QuantumTopos
p-algebra (as defined next in \textbf{definition 1.3	p-algebra (as defined next in \textbf{Definition 1.3	medium	QuantumTopos
pacific j. math.	Pacific J. Math.	medium	QuantumGroupoids
paper communicated by nobel laureate louis ne\'el	paper communicated by Nobel laureate Louis Ne\'el	medium	QuantumSymmetry
paracrystal	paracrystal	high	Quasicrystal
paracrystals	paracrystals	medium	QuantumSymmetry
parallel	parallel	medium	Equalizer
parallel morphisms	parallel morphisms	high	Equalizer
parameters	parameters	medium	OrganismicSupercategoriesAndSupercomplexSystemsBiodynamics
paretorandomvariable	ParetoRandomVariable	medium	ListOfProbabilityDistributions
partial ordering on subobjects of an object	partial ordering on subobjects of an object	high	PartialOrderingOnSubobjectsOfAnObject
partialfunction	PartialFunction	medium	InterchangeLaw
partially ordered	partially ordered	medium	PartiallyOrderedCategory
partially ordered category	partially ordered category	high	PartiallyOrderedCategory
partially ordered set	partially ordered set	medium	MVLogicsInTheCategoryOfAutomata
partition3	Partition3	medium	QuadraticVariation;QuadraticVariationOfASemimartingale;StochasticIntegrationAsALimitOfRiemannSums
path	path	medium	Precategory
path 
groupoid	path 
groupoid	medium	WeakHomotopyAdditionLemma
path groupoid	path groupoid	high	WeakHomotopyAdditionLemma
paul l\'evy continuity theorem	Paul L\'evy continuity theorem	high	PaulLevyContinuityTheorem
period	period	medium	PeriodicityOfAMarkovChain
period of a state	period of a state	high	PeriodicityOfAMarkovChain
periodicity of a markov chain	periodicity of a Markov chain	high	PeriodicityOfAMarkovChain
periodicityofamarkovchain	PeriodicityOfAMarkovChain	medium	RecurrenceInAMarkovChain
persistent	persistent	medium	RecurrenceInAMarkovChain
persistent state	persistent state	high	RecurrenceInAMarkovChain
philosophia mathematica	Philosophia Mathematica	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
philosophy of science	Philosophy of Science	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
phys. essays	Phys. Essays	medium	IHESOnTheFusionOfMathematicsAndTheoreticalPhysics
phys. lett. a	Phys. Lett. A	medium	QuantumSymmetry;Quasicrystal
phys. rep.	Phys. Rep.	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
phys. rev.	Phys. Rev.	medium	QuantumSymmetry;Quasicrystal
phys. rev. d	Phys. Rev. D	medium	QuantumGroupoids
phys. rev. lett.	Phys. Rev. Lett.	medium	QuantumGroupoids;QuantumSymmetry;Quasicrystal
phys. rev.~b	Phys. Rev.~B	medium	QuantumSymmetry;Quasicrystal
physica status solidi	Physica Status Solidi	medium	QuantumGroupoids
physical	physical	medium	SpacetimeQuantizationProblemsInQuantumGravityTheories
physicochemical structure--function relationships	Physicochemical Structure--Function Relationships	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
physics meets philosophy at the planck
scale.	Physics Meets Philosophy at the Planck
scale.	medium	QuantumCategory;QuantumTopos;SpacetimeQuantizationProblemsInQuantumGravityTheories
physics meets philosophy at the planck scale	Physics Meets Philosophy at the Planck scale	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
piecewise linear map of simplicial complexes	piecewise linear map of simplicial complexes	high	GeometricallyDefinedDoubleGroupoidWithConnection
platykurtic	platykurtic	high	Moment
point inclusion.	Point inclusion.	medium	2StochasticMaps
pointed topological space	pointed topological space	high	CategoryOfPointedTopologicalSpaces
poisson process	Poisson process	high	PoissonProcess
